Feature,Importance
categorical__college_tier_Tier-3,0.2516616864916506
numerical__cgpa,0.160967688894595
numerical__internships,0.10547602159853776
numerical__dsa_score,0.09623492656666693
numerical__coding_skills,0.09478843225130502
categorical__college_tier_Tier-1,0.0570291572767178
numerical__projects_count,0.05372538169166817
numerical__communication_skills,0.03601527779499188
numerical__backlogs,0.031610145681397424
numerical__certifications,0.030956703307601533
numerical__aptitude_score,0.029694095809904515
categorical__branch_CSE,0.012876744807784902
numerical__hackathons,0.012131795753350843
categorical__branch_IT,0.006506679953664779
categorical__branch_Chemical,0.0048481309307509945
categorical__branch_CE,0.004245139259081442
numerical__open_source_contributions,0.002914952873638755
categorical__college_tier_Tier-2,0.002092527169334049
categorical__branch_ECE,0.0018280348998745409
numerical__system_design,0.0013073963710103602
categorical__branch_ME,0.0011884795227445546
numerical__ml_knowledge,0.0011639917720701227
categorical__branch_EE,0.0007366093216579833
numerical__extracurriculars,0.0
